id;dominio;dns;status
1107;softwarepublico.gov.br;;0
1108;solucoestipublica.gov.br;;0
1109;somostodosbrasil.gov.br;;0
1110;soumaismedico.gov.br;;0
1111;soumaismedicos.gov.br;;0
1112;sp-trt.gov.br;;0
1113;sp.gov.br;sp-gov-br.mail.protection.outlook.com;1
1114;spm.gov.br;amobika.mdh.gov.br;1
1115;sptrt.gov.br;;0
1116;startuppoint.gov.br;relay.mdic.gov.br,smtp2.mdic.gov.br;1
1117;stf.gov.br;;0
1118;stfnet.gov.br;;0
1119;stj.gov.br;;0
1120;stm.gov.br;;0
1121;stn.gov.br;stn-gov-br.mail.protection.outlook.com;1
1122;sudam.gov.br;sudam-gov-br.mail.protection.outlook.com;1
1123;sudeco.gov.br;sudeco-gov-br.mail.protection.outlook.com;1
1124;sudene.gov.br;sudene-gov-br.mail.protection.outlook.com;1
1125;suframa.gov.br;suframa-gov-br.mail.protection.outlook.com;1
1126;super.gov.br;;0
1127;supercaminhaodasorte.gov.br;;0
1128;supersenaduplachance.gov.br;;0
1129;supertec.gov.br;relay.mdic.gov.br,smtp2.mdic.gov.br;1
1130;supertrinca.gov.br;;0
1131;sus.gov.br;mail.sus.gov.br;1
1132;susep.gov.br;susep-gov-br.mail.protection.outlook.com;1
1133;taxigov.gov.br;protection.serpro.gov.br;1
1134;taxigov2.gov.br;;0
1135;tcu.gov.br;tcu-gov-br.mail.protection.outlook.com;1
1136;tecanet.gov.br;;0
1137;tecnojusc.gov.br;;0
1138;teimozinha.gov.br;;0
1139;telepar.gov.br;;0
1140;telesc.gov.br;;0
1141;terraclass.gov.br;;0
1142;tesouro.gov.br;tesouro-gov-br.mail.protection.outlook.com;1
1143;tesourodireto.gov.br;;0
1144;tesourotransparente.gov.br;;0
1145;ticontrole.gov.br;ticontrole-gov-br.mail.protection.outlook.com;1
1146;titcb.gov.br;;0
1147;tjap.gov.br;;0
1148;tjmg.gov.br;smtp.google.com;1
1149;tjpe.gov.br;;0
1150;tjrn.gov.br;;0
1151;to.gov.br;smtp.to.gov.br;1
1152;topawa-kaa.gov.br;;0
1153;torcidalegal.gov.br;;0
1154;trabalho.gov.br;mte-mx03.mlicloud.com,mte-mx04.mlicloud.com,dc02-economia-mx01.mlicloud.com,dc02-economia-mx02.mlicloud.com;1
1155;tradeandinvestment.gov.br;;0
1156;tradepromotion.gov.br;;0
1157;traficodepessoas.gov.br;;0
1158;transparencia.gov.br;;0
1159;transparencianacopa.gov.br;;0
1160;transparenciapublica.gov.br;;0
1161;transportes.gov.br;transportes-gov-br.mail.protection.outlook.com;1
1162;tre-ac.gov.br;;0
1163;tre-al.gov.br;;0
1164;tre-am.gov.br;;0
1165;tre-ap.gov.br;;0
1166;tre-ba.gov.br;;0
1167;tre-ce.gov.br;;0
1168;tre-df.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
1169;tre-es.gov.br;trees-gov-br0i.mail.protection.outlook.com;1
1170;tre-go.gov.br;;0
1171;tre-ma.gov.br;;0
1172;tre-mg.gov.br;;0
1173;tre-ms.gov.br;;0
1174;tre-mt.gov.br;tremt-gov-br0i.mail.protection.outlook.com;1
1175;tre-pa.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
1176;tre-pb.gov.br;;0
1177;tre-pe.gov.br;;0
1178;tre-pi.gov.br;;0
1179;tre-pr.gov.br;;0
1180;tre-rj.gov.br;mail01.tre-rj.gov.br;1
1181;tre-rn.gov.br;;0
1182;tre-ro.gov.br;;0
1183;tre-rr.gov.br;;0
1184;tre-rs.gov.br;;0
1185;tre-sc.gov.br;;0
1186;tre-se.gov.br;;0
1187;tre-sp.gov.br;;0
1188;tre-to.gov.br;;0
1189;trensurb.gov.br;smtp-a.trensurb.gov.br,smtp-b.trensurb.gov.br;1
1190;trevodaloteria.gov.br;;0
1191;trevodasorte.gov.br;;0
1192;trevofederal.gov.br;;0
1193;trf1.gov.br;;0
1194;trf2.gov.br;mx.jfrj.jus.br,mx.trf2.jus.br;1
1195;trf3.gov.br;;0
1196;trf4.gov.br;;0
1197;trf5.gov.br;;0
1198;tribunaiscplp.gov.br;;0
1199;tribunaisdotrabalho.gov.br;;0
1200;trinca.gov.br;;0
1201;trincadasorte.gov.br;;0
1202;trinka.gov.br;;0
1203;trt-02.gov.br;;0
1204;trt-ma.gov.br;;0
1205;trt-pe.gov.br;;0
1206;trt-sp.gov.br;;0
1207;trt.gov.br;vm-z-mail.trt.gov.br;1
1208;trt01.gov.br;;0
1209;trt02.gov.br;;0
1210;trt05.gov.br;;0
1211;trt10.gov.br;;0
1212;trt11.gov.br;;0
1213;trt12.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com;1
1214;trt13.gov.br;;0
1215;trt14.gov.br;;0
1216;trt15.gov.br;;0
1217;trt16.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
1218;trt17.gov.br;;0
1219;trt18.gov.br;;0
1220;trt19.gov.br;;0
1221;trt2.gov.br;;0
1222;trt20.gov.br;;0
1223;trt21.gov.br;;0
1224;trt22.gov.br;;0
1225;trt23.gov.br;mail.trt23.gov.br,mail2.trt23.jus.br;1
1226;trt24.gov.br;;0
1227;trt3.gov.br;;0
1228;trt4.gov.br;;0
1229;trt6.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com;1
1230;trt7.gov.br;;0
1231;trt9.gov.br;;0
1232;trtes.gov.br;;0
1233;trtms.gov.br;;0
1234;trtrio.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com;1
1235;trtsp.gov.br;;0
1236;trtwap.gov.br;;0
1237;tse.gov.br;;0
1238;tst.gov.br;;0
1239;turismo.gov.br;turismo-gov-br.mail.protection.outlook.com;1
1240;turismoacessivel.gov.br;;0
1241;turismobrasil.gov.br;;0
1242;tvjustica.gov.br;;0
1243;uca.gov.br;;0
1244;unasus.gov.br;unasus-gov-br.mail.protection.outlook.com;1
1245;unijus.gov.br;;0
1246;valec.gov.br;valec-gov-br.mail.protection.outlook.com;1
1247;varadafazenda.gov.br;;0
1248;venturecapital.gov.br;mx.venturecapital.gov.br;1
1249;veracruz-rs.gov.br;veracruz-rs.gov.br;1
1250;versionamento.gov.br;;0
1251;viajamais.gov.br;;0
1252;vice-presidencia.gov.br;;0
1253;vicepresidenciadarepublica.gov.br;;0
1254;vidadacrianca.gov.br;alpha.planalto.gov.br;1
1255;vidaedinheiro.gov.br;;0
1256;viibra.gov.br;;0
1257;vispublica.gov.br;;0
1258;vitrinedoexportador.gov.br;relay.mdic.gov.br,smtp2.mdic.gov.br;1
1259;vivaleitura.gov.br;;0
1260;vlibras.gov.br;;0
1261;vls.gov.br;;0
1262;voz.gov.br;smtp1.nbr.gov.br;1
1263;vozdobrasil.gov.br;smtp01.radiobras.gov.br,smtp02.radiobras.gov.br;1
1264;webambiente.gov.br;;0
1265;wikilegis.gov.br;;0
1266;www.gov.br;;0
1267;xn--avanar-zua.gov.br;;0
1268;xn--doaes-0ra2h.gov.br;;0
1269;xn--guiadeservios-sgb.gov.br;;0
1270;xn--notcias-9ya.gov.br;;0
1271;xn--oramentofederal-fmb.gov.br;;0
1272;xn--previdncia-r7a.gov.br;mte-mx03.mlicloud.com,mte-mx04.mlicloud.com,dc02-economia-mx01.mlicloud.com,dc02-economia-mx02.mlicloud.com;1
1273;xn--previdnciasocial-xqb.gov.br;;0
